"gene","GSM1932083","GSM1932084","GSM1932085","GSM1932086","GSM1932087","GSM1932088","GSM1932089","GSM1932090"
"ABTB1",11.0912738370888,11.2890924816776,11.3409636980544,11.3409737090042,11.6135351884704,11.5709617308092,12.6283413394793,11.8703295299572
"ABTB2",11.132947364113,10.8741719507952,10.8031315030069,10.7355743675989,13.3432620239732,13.0996958956858,12.3119539437016,12.1205235619745
"ACAA1",12.9588591067895,12.9323056889117,13.4650650575763,12.7177185465337,13.3578199667954,13.1993749237908,12.9604649539946,13.0233247859777
"ACAA2",12.4863417263009,12.199532693233,12.5873656189554,12.0651625397179,12.1667429568097,12.0652446837798,11.9713321919077,11.798058892678
"ACACA",13.3301507581005,13.0304663861269,13.7823737191513,12.917146720781,12.9268388825215,12.8318209796025,12.3694530365705,13.2295371058196
"ACACB",6.79816302970288,6.8123452068312,7.0984898711804,6.66752997297241,7.61856448078679,7.59514839577781,8.26188749122573,8.73489749362202
"ACAD10",10.0274936903151,10.0912828823562,10.1648198081369,10.1051014196543,9.73727130999091,9.73382795056324,10.3783053471174,9.85804345718493
"ACAD11",9.1877998553417,9.37542955590301,9.7979067291308,9.18809990064092,7.90242322763873,7.37825565222804,7.85699551555736,7.5472877065576
"ACAD8",8.45982289250501,8.01684437689219,8.59911906349999,7.82640789076187,7.8456943910888,7.86041584401142,8.3872340511192,8.23463246216432
"ACAD9",13.7806791582756,13.5038617153757,13.798288483649,13.5117686714225,12.9304658235264,12.7404131643576,13.1349150528967,13.2466682658579
"ACADL",1.7382957227109,1.7488772359656,3.48014347032763,1.8405401755533,2.87224053213894,1.9270059166581,2.06615292602483,4.69993074543911
"ACADM",10.4875573735361,10.6031076594479,10.8740420448997,10.3678893962765,10.7793563206693,10.6117493565052,10.7152273144847,10.7448436563679
"ACADS",7.65073640992083,7.71043782106946,8.37308646961057,7.57079061965612,8.08989469658398,7.89007258803664,8.62748602122212,7.74048089100996
"ACADSB",11.0938583470145,10.9446488760583,11.4504435376702,10.9182212434537,10.3667349397649,10.3558748637297,10.6338141383556,10.8178348172874
"ACADVL",14.4847033156987,14.389237386109,14.7309954321309,14.2769051456755,14.5617115540338,14.3410934350672,14.6530017611827,14.4686106594286
"ACAN",7.67345804799868,7.85717658657725,7.83033569634195,8.66703019165594,8.0281032011615,7.98713653189658,8.15544455319932,8.05241360624472
"ACAP1",5.02435598549984,5.21795688384955,5.26195870868686,5.61603177744407,5.47793401767665,5.7551594245508,6.00997456426651,5.66843825388795
"ACAP2",10.5251377481593,10.6725046164163,10.897981310197,10.2344254904272,9.78283621022708,9.75290256352786,10.1529308412099,10.0635780074671
"ACAP3",14.3399717306395,14.1626941936051,14.4268019746263,14.0949271208155,14.3045067409349,14.1417766422244,14.5752608960674,14.1970438480595
"ACAT1",13.485429302649,13.6644116921867,13.8531896194722,13.375321815473,13.905717899253,13.8668413158254,13.9012741758981,13.8141047272891
"ACAT2",14.8145649267113,14.6087283843901,15.1512544180029,14.3074747527833,13.9792241828795,13.931839048503,13.5499650752346,14.3183683708166
"ACBD3",10.3095453366618,10.5595708508667,10.6126747237013,10.0881265921327,10.0263985035925,9.72058334840506,9.46484769226642,9.45063593688764
"ACBD4",12.2015262550286,12.1845340503205,11.8749393563972,11.7830025808038,11.4517230123495,11.0653701393713,11.9668232564598,11.2825855678303
"ACBD5",11.415050714002,11.4124108976175,11.9816602760128,11.0593131450783,11.7275795941836,11.5571337103146,11.9574629165599,11.4222354604415
"ACBD6",14.3370698930081,14.1209716503863,14.5166258418554,13.8906556517794,13.6999616680757,13.6438595349073,14.1659134835246,13.8830470008095
"ACBD7",9.95217814995465,9.76420875891329,10.0492259861443,9.61818226066898,9.47226371189185,9.6349647098794,9.82453999439246,9.88618473139859
"ACCN1",8.68173836218841,8.81332644299146,8.83130749401698,8.7306887886873,8.43524469793063,8.3029015274974,8.45963931488498,8.34653624435134
"ACCN2",9.26508071440822,9.01666785203565,9.54738732028477,9.0484176093445,9.23297913855292,9.15809254524859,9.39141691511839,9.2374054440437
"ACCN3",7.05004756230955,6.02365055313137,6.79600168606171,6.46165966445178,8.52783188493845,8.41852805684309,7.96695688641691,8.23758847331898
"ACCN4",12.186694506972,11.9687116711836,12.2653685246852,11.796531517641,12.2264394926439,11.8899277656454,12.58739257733,12.2509502311016
"ACCN5",4.84868597950521,4.84557630898393,5.09472669699867,5.30492637743575,4.65183521348536,5.18679484280414,4.75580300237667,5.05590836426235
